1: Goal reached in 306 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 305 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.8000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 309 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.4000, 0.0500])
1: Goal reached in 309 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 309 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 309 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 308 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 308 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 308 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 311 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 311 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 308 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 308 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 308 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 309 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 308 iterations (0.61 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 309 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.9000, 0.0000, 0.7000, 0.0500])
